title,price,rating,brand,ram_gb,storage_gb,storage_type,processor,processor_score,gpu,gpu_score,screen_size,product_url,image_url,availability,source,asin,source_url,scraped_at
"Apple Ultrabook 13.3"" Intel Core i5 2.3GHz 8GB 128GB SSD (Intel Iris Plus Graphics 640)",71378.68,,Apple,8,128,SSD,Intel Core i5 2.3GHz,5,Intel Iris Plus Graphics 640,3,13.3,,,,Kaggle,0,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 13.3"" Intel Core i5 1.8GHz 8GB 128GB Flash Storage (Intel HD Graphics 6000)",47895.52,,Apple,8,128,FLASH,Intel Core i5 1.8GHz,5,Intel HD Graphics 6000,2,13.3,,,,Kaggle,1,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" Intel Core i5 7200U 2.5GHz 8GB 256GB SSD (Intel HD Graphics 620)",30636.0,,HP,8,256,SSD,Intel Core i5 7200U 2.5GHz,5,Intel HD Graphics 620,2,15.6,,,,Kaggle,2,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 15.4"" Intel Core i7 2.7GHz 16GB 512GB SSD (AMD Radeon Pro 455)",135195.34,,Apple,16,512,SSD,Intel Core i7 2.7GHz,7,AMD Radeon Pro 455,5,15.4,,,,Kaggle,3,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 13.3"" Intel Core i5 3.1GHz 8GB 256GB SSD (Intel Iris Plus Graphics 650)",96095.81,,Apple,8,256,SSD,Intel Core i5 3.1GHz,5,Intel Iris Plus Graphics 650,3,13.3,,,,Kaggle,4,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Notebook 15.6"" AMD A9-Series 9420 3GHz 4GB 500GB HDD (AMD Radeon R5)",21312.0,,Acer,4,500,HDD,AMD A9-Series 9420 3GHz,2,AMD Radeon R5,2,15.6,,,,Kaggle,5,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 15.4"" Intel Core i7 2.2GHz 16GB 256GB Flash Storage (Intel Iris Pro Graphics)",114017.6,,Apple,16,256,FLASH,Intel Core i7 2.2GHz,7,Intel Iris Pro Graphics,3,15.4,,,,Kaggle,6,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 13.3"" Intel Core i5 1.8GHz 8GB 256GB Flash Storage (Intel HD Graphics 6000)",61735.54,,Apple,8,256,FLASH,Intel Core i5 1.8GHz,5,Intel HD Graphics 6000,2,13.3,,,,Kaggle,7,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Ultrabook 14.0"" Intel Core i7 8550U 1.8GHz 16GB 512GB SSD (Nvidia GeForce MX150)",79653.6,,Asus,16,512,SSD,Intel Core i7 8550U 1.8GHz,7,Nvidia GeForce MX150,1,14.0,,,,Kaggle,8,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Ultrabook 14.0"" Intel Core i5 8250U 1.6GHz 8GB 256GB SSD (Intel UHD Graphics 620)",41025.6,,Acer,8,256,SSD,Intel Core i5 8250U 1.6GHz,5,Intel UHD Graphics 620,2,14.0,,,,Kaggle,9,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
