title,price,rating,brand,ram_gb,storage_gb,storage_type,processor,processor_score,gpu,gpu_score,screen_size,product_url,image_url,availability,source,asin,source_url,scraped_at
"Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 32‑core GPU: Built for AI, 41.05 cm (16.2″) Liquid Retina XDR Display, 36GB Unified Memory, 2TB SSD Storage; Silver",513990.0,2.4,Apple,36.0,2048.0,SSD,,0,,0,,https://www.amazon.in/dp/B0GR16YWF6,https://m.media-amazon.com/images/I/61NJjTxLyiL._AC_UY218_.jpg,,Amazon,B0GR16YWF6,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor 45 Tops (16GB LPDDR5x, 512GB SSD), 2K 14''/35.6cm, Win11, Office24, Silver, 1.29kg, he0014QU, Multi-Day Battery, AI Laptop",79990.0,4.1,HP,16.0,512.0,SSD,,0,,0,,https://www.amazon.in/dp/B0F8P4Y7VF,https://m.media-amazon.com/images/I/61aLy7kImQL._AC_UY218_.jpg,,Amazon,B0F8P4Y7VF,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",57999.0,4.0,Lenovo,16.0,512.0,SSD,,5,,0,15.6,https://www.amazon.in/dp/B0F29HNJL1,https://m.media-amazon.com/images/I/61qL-lDAZEL._AC_UY218_.jpg,,Amazon,B0F29HNJL1,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",46999.0,4.0,Lenovo,8.0,512.0,SSD,,0,,0,15.6,https://www.amazon.in/dp/B0CL7CMTXS,https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,,Amazon,B0CL7CMTXS,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"HP 15 Smartchoice, Intel Core Ultra 5 125H 12 TOPS, 24GB DDR5 (Upgradeable) 1TB SSD,Anti-Glare, FHD, 15''/39.6cm,Win11, M365*Office24, Silver, 1.65kg, FD1458TU, FHD Camera w/Shutter, Backlit AI Laptop",82990.0,3.8,HP,24.0,1024.0,SSD,,7,,0,,https://www.amazon.in/dp/B0GWQHQB4T,https://m.media-amazon.com/images/I/71-mQ4c9a4L._AC_UY218_.jpg,,Amazon,B0GWQHQB4T,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"Lenovo IdeaPad Slim 3 AMD Ryzen 5 40 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB RAM/512GB SSD/Backlit Keyboard/Windows 11/Microsoft 365 Basic + Office 2024/Grey/1.6Kg), 82XQ01HQIN",64990.0,4.4,Lenovo,16.0,512.0,SSD,,5,,0,15.6,https://www.amazon.in/dp/B0GSRGMG8D,https://m.media-amazon.com/images/I/71ufvci7cRL._AC_UY218_.jpg,,Amazon,B0GSRGMG8D,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 32‑core GPU: Built for AI, 35.97 cm (14.2″) Liquid Retina XDR Display, 36GB Unified Memory, 2TB SSD Storage; Space Black",464490.0,5.0,Apple,36.0,2048.0,SSD,,0,,0,,https://www.amazon.in/dp/B0GR1B69CB,https://m.media-amazon.com/images/I/61+jOMbYhYL._AC_UL320_.jpg,,Amazon,B0GR1B69CB,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 40‑core GPU: Built for AI, 41.05 cm (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 2TB SSD Storage; Space Black",589990.0,4.3,Apple,48.0,2048.0,SSD,,0,,0,,https://www.amazon.in/dp/B0GR1LB81D,https://m.media-amazon.com/images/I/61h78UMEXjL._AC_UL320_.jpg,,Amazon,B0GR1LB81D,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"Primebook 2 Pro (2026) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)",28990.0,4.3,Unknown,8.0,128.0,UFS,,0,,0,,https://www.amazon.in/dp/B0FFM8M9B5,https://m.media-amazon.com/images/I/51CIIx6l+VL._AC_UL320_.jpg,,Amazon,B0FFM8M9B5,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
"HP Professional 15 (2026), Intel (i3 14th Gen) Core 3 100U - (8 GB/512 GB SSD/DOS (MS Office/Windows not Installed) Thin & Light Business Laptop/15.6""/Silver/1.5kg",48850.0,4.5,HP,8.0,512.0,SSD,,3,,0,15.6,https://www.amazon.in/dp/B0GY7YKXY5,https://m.media-amazon.com/images/I/71WkOmHe4gL._AC_UY218_.jpg,,Amazon,B0GY7YKXY5,https://www.amazon.in/s?k=laptops,2026-09-04T15:50:41.135961+00:00
